Apples|The fridge is the best place to store Apples.|For freshness and quality, always store your apples in the fridge in their original packaging.  They will last longer than if left out in a fruit bowl.|Yes.|Apples can be frozen in slices after they have been quickly cooked in boiling water. Freeze in a single layer, then pack into bags once frozen. You can use the frozen apples to make apple cake or apple sauce.|One bad apple can spoil the barrel, so keep an eye on your fruit. Separate out fruit which is ripening more quickly than the others.
                                                                However, don’t throw bruised apples away. Cut off any brown parts and chop the rest into wedges for a snack, or grate the remaining apple into salads. Use up wrinkly or soft fruit in smoothies.
Aubergine|The fridge is the best place to store aubergine.|For freshness and quality, always store your aubergine in the fridge in their original packaging.|Yes.|Slice and grill aubergine before freezing to prevent it going mushy. Cooked aubergine can also be frozen.|Try to cut just before cooking to keep your aubergine fresh.
Avocado|The fridge is the best place to store avocados.|If your avocados are ripe, store them in the fridge in their original packaging. If you want them to ripen, store them at room temperature until ripe.|Yes.|To freeze your avocado, cut in half, peel and put in a sealable bag or container and freeze. 
                You can also puree or mash the avocados with a fork or in a food processor with a little bit of lime or lemon juice. Store in a resealable bag and freeze. It's a good idea to put indentations in the bag to make for easy portion sizes later.|If you only need half an avocado, leave the stone in the other half and refrigerate, this will prevent it going black.
Bacon|The fridge is the best place to store bacon.|Once a packet is opened, follow the on-pack instructions about how to store it and when to use it up by. All raw meat should be stored at the bottom of the fridge in a clean, sealed container.|Yes.|Separate a large pack of bacon into slices using greaseproof paper before freezing. Then, you can just defrost what you need at a later date.|Keep cooked meat separate from raw meat.
Baked Goods (Crumpets / Bagels etc.)|The cupboard is the best place to store baked goods.|Store baked goods at room temperature in sealed bags to prevent them from going stale. Beyond Best Before? Most packaged bakery products can be eaten up to a week after the best before. If mould is present, do not use. Some bakery items e.g. some pitta breads are sold in long-life packaging, meaning they can be eaten a month or more after the best before date.|Yes|Baked goods like bagels and crumpets can be frozen. Separate and slice before freezing and keep them in sealed packaging, so you can defrost what you need later. They can also be toasted directly from frozen.|Once the pack is open, re-seal tightly (use a peg or food clip) and store in a bread bin or cupboard.
Banana|The cupboard is the best place to store bananas.|Keep your bananas somewhere nice and cool, in a cupboard or on the side, ideally in their original packaging. Bananas will go black in the fridge.|Yes.|Bananas can go brown quite quickly so if you see them start to go speckled, peel and freeze them to use later.|Always keep bananas separate from other fruits unless you want the other fruit to ripen quickly.
Beans - All Varieties (Fresh)|The fridge is the best place to store beans.|Fresh beans should be kept in the fridge in their original packaging.|Yes.|All beans can be frozen! Raw or cooked, ensure beans are stored in a sealed container before freezing. |Beans will keep fresher for longer if left whole in their original packaging in the fridge. When you're ready to use them up, wash under running water and chop.
Beef|The fridge is the best place to store beef.|All raw meat should be stored at the bottom of the fridge in a clean, sealed container to stop it touching or dripping onto other things. Always keep cooked meats in the fridge, well wrapped and away from raw meat.|Yes.|Cooked and raw beef can be frozen in a sealed bag or container. You can also freeze previously frozen meat if it's been cooked.|If only half a packet of meat is needed, reseal well or store in an airtight container. Store in the fridge or freeze to use later.
Beer|The fridge is the best place to store beer.|Canned or bottled beer or cider should be stored in the fridge or a cool place without direct light.|Not suitable for freezing.|none|none
Beetroot|The fridge is the best place to store beetroot.|Fresh beetroot is best stored whole and in the fridge for freshness.|Yes.|It is best to freeze beetroot when cooked. First boil or steam the beetroot, allow to cool and pop into a sealed container and freeze.|Once peeled or cut, store any uneaten beetroot in an airtight container in the fridge
Berries|The fridge is the best place to store berries.|Store berries in their original packaging in the fridge.     |Yes.|You can freeze fresh berries on a tray first (so that they don't lump together) and then store in an airtight container in the freezer. Or why not try shop-bought frozen fruit? It is often cheaper than fresh, and you can take as much as you need straight from the freezer.|Keep your berries in the fridge and only bring to room temperature when you are ready to eat them.
Bread|The cupboard is the best place to store bread.|Keep bread and rolls in a fairly cool, dark and dry place, like bread bin or cupboard, in their original packaging. (Clean your bread bin or cupboard regularly to get rid of mould spores.) Beyond Best Before? Most packed bread and packaged bakery products can be eaten two days to up to a week after the best before date. Give it a squeeze! If it feels and looks the same as when you bought it, it's good to eat. If mould is present, do not use.|Yes.|You can freeze all varieties of bread. To make it easier to separate bread slices after freezing, bang your loaf gently on a work surface before you put it in the freezer. Slices from a frozen loaf can be defrosted as needed, or toasted straight from the freezer. |If you store bread in the fridge it will make it go stale quicker! Once a loaf is opened, fold the wrapper under the loaf or re-tie it with the ‘best before’ tag or food clip.
Broccoli (fresh)|The fridge is the best place to store broccoli.|Broccoli should be stored in the fridge in its original packaging, to keep it at its best.|Yes.|Chop and blanch broccoli for three minutes before freezing to retain the flavour. Or why not try shop-bought frozen vegetables? It is often cheaper than fresh, and you can take as much as you need straight from the freezer.|Freshen up broccoli by placing the stem in a jar or glass of water in the fridge.
BUTTER OR SPREADS|The fridge is the best place to store butter and spreads.|Butter should be kept in the fridge in a resealable container or packaging.|Yes.|You can freeze butter in small squares and add directly to meals when cooking. Butter can also be defrosted in the microwave - use a defrost or low setting for 15 second intervals for best results.|
Cabbage (fresh)|The fridge is the best place to store cabbage.|Cabbage should be stored it in the fridge, either in its original packaging or alternatively inside a loosely tied plastic bag.|Yes.|Blanch sliced cabbage for 90 seconds, then place in ice water before freezing.|Freshen up cabbage that is looking a bit limp and tired by popping into a bowl of ice-cold water for a few minutes.
CAKE|The cupboard is the best place to store cake.|Cake can be stored in an airtight container at room temperature, but if storing in the fridge, wrap first (to avoid absorbing smells and drying out). Enjoy at room temperature. Beyond Best Before? Packet cakes can be eaten up to three months after the best before end date.|Yes.|Cakes can be frozen - it is best to freeze cake in slices, put a piece of greaseproof paper between each slice, before freezing, to stop them from sticking together and you can defrost just what you need.|Sponges can be refreshed by popping in the oven for a few minutes or microwave to soften up.
